id,x,y,r
18011549,348.1,181.1,0
18011549,348.2,181.2,0
18011549,348.3,181.3,0
18011549,348.4,181.4,0
18011549,348.5,181.5,0
18011549,348.6,181.6,0
18011549,348.7,181.7,0
18011549,348.8,181.8,0
18011549,348.9,181.9,0
18011549,349,182,0
18011549,349.1,182.1,0
18011549,349.2,182.2,0
18011549,349.3,182.3,0
18011549,349.4,182.4,0
18011549,349.5,182.5,0
18011549,349.6,182.6,0
18011549,349.7,182.7,0
18011549,349.8,182.8,0
18011549,349.9,182.9,0
18011549,350.0,183,0
18011549,350.1,183.1,0
18011549,350.2,183.2,0
18011549,350.3,183.3,0
18011549,350.4,183.4,0
18011549,350.5,183.5,0
18011549,350.6,183.6,0
18011549,350.7,183.7,0
18011549,350.8,183.8,0
18011549,350.9,183.9,0
18011549,351.0,184,0
18011549,351.1,184.1,0
18011549,351.2,184.2,0
18011549,351.3,184.3,0
18011549,351.4,184.4,0
18011549,351.5,184.5,0
18011549,351.6,184.6,0
18011549,351.7,184.7,0
18011549,351.8,184.8,0
18011549,351.9,184.9,0
18011549,352,185,0
18011549,352.1,185.1,0
18011549,352.2,185.2,0
18011549,352.3,185.3,0
18011549,352.4,185.4,0
18011549,352.5,185.5,0
18011549,352.6,185.6,0
18011549,352.7,185.7,0
18011549,352.8,185.8,0
18011549,352.9,185.9,0
18011549,353,186,0
18011549,353.1,186.1,0
18011549,353.2,186.2,0
18011549,353.3,186.3,0
18011549,353.4,186.4,0
18011549,353.5,186.5,0
18011549,353.6,186.6,0
18011549,353.7,186.7,0
18011549,353.8,186.8,0
18011549,353.9,186.9,0
18011549,354.0,187,0
18011549,354.1,187.1,0
18011549,354.2,187.2,0
18011549,354.3,187.3,0
18011549,354.4,187.4,0
18011549,354.5,187.5,0
18011549,354.6,187.6,0
18011549,354.7,187.7,0
18011549,354.8,187.8,0
18011549,354.9,187.9,0
18011549,355.0,188,0
18011549,355.1,188.1,0
18011549,355.2,188.2,0
18011549,355.3,188.3,0
18011549,355.4,188.4,0
18011549,355.5,188.5,0
18011549,355.6,188.6,0
18011549,355.7,188.7,0
18011549,355.8,188.8,0
18011549,355.9,188.9,0
18011549,356,189,0
18011549,356.1,189.1,0
18011549,356.2,189.2,0
18011549,356.3,189.3,0
18011549,356.4,189.4,0
18011549,356.5,189.5,0
18011549,356.6,189.6,0
18011549,356.7,189.7,0
18011549,356.8,189.8,0
18011549,356.9,189.9,0
18011549,357,190,0
18011549,357.1,190.1,0
18011549,357.2,190.2,0
18011549,357.3,190.3,0
18011549,357.4,190.4,0
18011549,357.5,190.5,0
18011549,357.6,190.6,0
18011549,357.7,190.7,0
18011549,357.8,190.8,0
18011549,357.9,190.9,0
18011549,358.0,191,0
18011549,358.1,191.1,0
18011549,358.2,191.2,0
18011549,358.3,191.3,0
18011549,358.4,191.4,0
18011549,358.5,191.5,0
18011549,358.6,191.6,0
18011549,358.7,191.7,0
18011549,358.8,191.8,0
18011549,358.9,191.9,0
18011549,359.0,192,0
18011549,359.1,192.1,0
18011549,359.2,192.2,0
18011549,359.3,192.3,0
18011549,359.4,192.4,0
18011549,359.5,192.5,0
18011549,359.6,192.6,0
18011549,359.7,192.7,0
18011549,359.8,192.8,0
18011549,359.9,192.9,0
18011549,360,193,0
18011549,360.1,193.1,0
18011549,360.2,193.2,0
18011549,360.3,193.3,0
18011549,360.4,193.4,0
18011549,360.5,193.5,0
18011549,360.6,193.6,0
18011549,360.7,193.7,0
18011549,360.8,193.8,0
18011549,360.9,193.9,0
18011549,361,194,0
18011549,361.1,194.1,0
18011549,361.2,194.2,0
18011549,361.3,194.3,0
18011549,361.4,194.4,0
18011549,361.5,194.5,0
18011549,361.6,194.6,0
18011549,361.7,194.7,0
18011549,361.8,194.8,0
18011549,361.9,194.9,0
18011549,362.0,195,0
18011549,362.1,195.1,0
18011549,362.2,195.2,0
18011549,362.3,195.3,0
18011549,362.4,195.4,0
18011549,362.5,195.5,0
18011549,362.6,195.6,0
18011549,362.7,195.7,0
18011549,362.8,195.8,0
18011549,362.9,195.9,0
18011549,363.0,196,0
18011549,363.1,196.1,0
18011549,363.2,196.2,0
18011549,363.3,196.3,0
18011549,363.4,196.4,0
18011549,363.5,196.5,0
18011549,363.6,196.6,0
18011549,363.7,196.7,0
18011549,363.8,196.8,0
18011549,363.9,196.9,0
18011549,364,197,0
18011549,347.0,180,1
